arm,pooling,seed,best_val_class_acc,species_weight,freshness_weight,run_hours,test_class_acc,test_class_precision,test_class_recall,test_class_f1,test_freshness_acc_classderived,test_freshness_mae_classderived,test_freshness_adjacent_classderived,test_freshness_severe_classderived,test_freshness_acc_head,test_freshness_mae_head,test_freshness_adjacent_head,test_freshness_severe_head
A_gap,gap,42,88.75,0.0,0.0,0.102,88.96,89.26,89.32,88.94,89.31,0.1183,84,10,29.58,0.8999,447,172
A_gap,gap,123,87.75,0.0,0.0,0.091,87.26,87.96,87.31,87.11,87.6,0.1342,100,9,24.23,0.9261,518,148
A_gap,gap,2024,88.6,0.0,0.0,0.118,89.19,89.7,88.84,88.75,89.53,0.1104,87,5,33.33,0.7895,478,108
A_gap,gap,7,88.75,0.0,0.0,0.155,88.74,88.68,88.19,88.02,88.96,0.1149,93,4,17.97,0.9795,581,140
A_gap,gap,2025,89.32,0.0,0.0,0.155,88.51,88.14,87.79,87.56,88.74,0.1217,91,8,33.22,0.7782,490,97
B_raw_bilinear,raw_bilinear,42,87.75,0.0,0.0,0.182,87.26,88.39,87.27,87.15,87.94,0.1274,100,6,24.0,1.0102,448,220
B_raw_bilinear,raw_bilinear,123,86.61,0.0,0.0,0.149,86.46,86.37,85.28,85.15,86.8,0.1354,113,3,32.31,0.727,551,44
B_raw_bilinear,raw_bilinear,2024,88.03,0.0,0.0,0.155,86.35,86.73,86.48,86.15,86.92,0.1399,107,8,43.23,0.6746,405,94
B_raw_bilinear,raw_bilinear,7,87.04,0.0,0.0,0.155,87.14,87.4,86.74,86.65,87.94,0.1263,101,5,25.14,0.8851,538,120
B_raw_bilinear,raw_bilinear,2025,86.18,0.0,0.0,0.142,87.03,87.49,86.63,86.21,87.71,0.1263,105,3,28.78,0.9727,397,229
